  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy Lig_wrt_Protein  Lig_wrt_Ligand
         0      0.000           0.000           0.000           0.000           0.000           0.000
         1      0.739           0.744           1.162           0.861           0.586           0.290
         2      0.837           0.858           1.305           0.994           0.342           0.276
         3      0.924           0.954           1.386           1.092           0.764           0.322
         4      0.950           0.982           1.463           1.151           0.642           0.257
         5      0.948           0.976           1.500           1.145           0.874           0.318
         6      0.920           0.979           1.490           1.132           0.591           0.258
         7      0.874           0.943           1.508           1.130           0.603           0.294
         8      0.989           1.044           1.576           1.207           0.742           0.347
         9      0.965           1.025           1.651           1.246           0.394           0.270
        10      0.933           0.971           1.672           1.231           0.504           0.306
        11      1.138           1.187           1.740           1.370           0.664           0.220
        12      1.133           1.230           1.766           1.398           0.607           0.270
        13      1.224           1.332           1.767           1.444           0.478           0.270
        14      1.362           1.458           1.850           1.568           0.726           0.244
        15      1.319           1.426           1.849           1.550           0.772           0.204
        16      1.391           1.484           1.934           1.628           0.545           0.267
        17      1.273           1.352           1.910           1.567           0.464           0.342
        18      1.240           1.334           1.885           1.531           0.633           0.341
        19      1.372           1.485           1.890           1.615           0.638           0.226
        20      1.341           1.464           1.862           1.594           0.767           0.407
        21      1.444           1.540           1.884           1.641           0.672           0.217
        22      1.463           1.594           1.865           1.654           0.406           0.240
        23      1.366           1.465           2.013           1.683           0.535           0.240
        24      1.481           1.605           2.016           1.752           0.585           0.193
        25      1.442           1.559           1.999           1.727           0.449           0.331
        26      1.552           1.667           2.053           1.805           0.673           0.214
        27      1.550           1.672           2.087           1.835           0.599           0.318
        28      1.420           1.541           1.972           1.707           0.642           0.269
        29      1.637           1.740           2.058           1.858           0.458           0.255
        30      1.589           1.697           2.038           1.818           0.663           0.286
        31      1.697           1.805           2.051           1.888           0.605           0.231
        32      1.543           1.628           2.054           1.790           0.498           0.262
        33      1.572           1.631           2.088           1.820           0.533           0.342
        34      1.485           1.558           2.066           1.759           0.456           0.314
        35      1.390           1.442           2.021           1.679           0.531           0.174
        36      1.504           1.591           2.019           1.752           0.708           0.267
        37      1.502           1.570           2.055           1.751           0.718           0.210
        38      1.607           1.665           2.124           1.835           0.654           0.258
        39      1.598           1.679           2.159           1.851           0.781           0.258
        40      1.576           1.676           2.094           1.822           0.853           0.287
        41      1.661           1.748           2.126           1.863           0.557           0.252
        42      1.672           1.767           2.159           1.885           0.583           0.217
        43      1.711           1.786           2.142           1.890           0.520           0.219
        44      1.869           1.918           2.298           2.043           0.780           0.309
        45      1.789           1.859           2.232           1.977           0.810           0.230
        46      1.887           1.951           2.291           2.057           0.777           0.224
        47      1.810           1.862           2.269           1.997           0.637           0.233
        48      1.853           1.939           2.313           2.064           0.757           0.282
        49      1.972           2.062           2.439           2.187           0.566           0.255
        50      1.910           2.004           2.398           2.129           0.569           0.253
        51      1.811           1.892           2.334           2.044           0.505           0.254
        52      1.891           1.952           2.456           2.152           0.751           0.302
        53      1.868           1.933           2.458           2.139           0.579           0.277
        54      1.804           1.876           2.402           2.084           0.389           0.199
        55      1.895           1.939           2.474           2.145           0.617           0.339
        56      1.945           2.022           2.496           2.193           0.529           0.288
        57      1.775           1.851           2.384           2.056           0.418           0.249
        58      1.779           1.823           2.421           2.070           0.610           0.332
        59      1.742           1.810           2.426           2.068           0.677           0.370
        60      1.710           1.787           2.388           2.025           0.600           0.346
        61      1.707           1.791           2.409           2.037           0.639           0.286
        62      1.674           1.762           2.443           2.056           0.381           0.241
        63      1.679           1.764           2.426           2.048           0.606           0.195
        64      1.575           1.684           2.264           1.913           0.617           0.394
        65      1.628           1.728           2.231           1.915           0.449           0.276
        66      1.725           1.810           2.339           2.025           0.577           0.202
        67      1.649           1.736           2.346           1.983           0.590           0.202
        68      1.673           1.754           2.349           1.989           0.498           0.207
        69      1.627           1.736           2.375           1.986           0.657           0.253
        70      1.592           1.706           2.305           1.956           0.406           0.192
        71      1.674           1.769           2.378           2.008           0.896           0.390
        72      1.670           1.763           2.387           2.019           0.721           0.448
        73      1.729           1.810           2.425           2.065           0.438           0.164
        74      1.767           1.825           2.452           2.113           0.704           0.284
        75      1.849           1.886           2.512           2.173           0.593           0.187
        76      1.819           1.885           2.483           2.143           0.602           0.229
        77      1.710           1.795           2.401           2.059           0.739           0.229
        78      1.623           1.693           2.389           2.002           0.687           0.382
        79      1.561           1.623           2.353           1.944           0.921           0.351
        80      1.554           1.631           2.383           1.967           0.621           0.263
        81      1.503           1.582           2.322           1.902           0.682           0.286
        82      1.501           1.570           2.364           1.929           0.545           0.189
        83      1.536           1.608           2.366           1.943           0.449           0.261
        84      1.573           1.651           2.406           1.981           0.620           0.225
        85      1.625           1.703           2.431           2.018           0.643           0.242
        86      1.586           1.666           2.360           1.973           0.661           0.451
        87      1.632           1.701           2.449           2.023           0.440           0.217
        88      1.545           1.626           2.329           1.920           0.525           0.240
        89      1.507           1.600           2.296           1.894           0.451           0.263
        90      1.452           1.545           2.215           1.818           0.454           0.265
        91      1.443           1.546           2.247           1.843           0.796           0.307
        92      1.498           1.586           2.303           1.886           0.374           0.201
        93      1.545           1.629           2.344           1.934           0.781           0.384
        94      1.502           1.608           2.267           1.885           0.488           0.224
        95      1.490           1.584           2.271           1.866           0.813           0.391
        96      1.571           1.652           2.322           1.930           0.622           0.297
        97      1.563           1.635           2.404           1.967           0.722           0.358
        98      1.736           1.800           2.443           2.063           0.629           0.216
        99      1.621           1.693           2.389           1.987           0.555           0.180
       100      1.604           1.666           2.411           1.990           0.511           0.263
       101      1.633           1.703           2.410           1.992           0.593           0.283
       102      1.515           1.576           2.391           1.930           0.522           0.349
       103      1.504           1.590           2.331           1.896           0.618           0.220
       104      1.531           1.625           2.371           1.926           0.662           0.270
       105      1.435           1.532           2.339           1.863           0.619           0.316
       106      1.496           1.587           2.358           1.911           0.484           0.216
       107      1.561           1.646           2.356           1.934           0.624           0.246
       108      1.501           1.589           2.383           1.906           0.698           0.280
       109      1.631           1.697           2.441           2.010           0.428           0.207
       110      1.572           1.633           2.441           1.984           0.732           0.206
       111      1.494           1.554           2.419           1.935           0.754           0.207
       112      1.577           1.633           2.500           2.016           0.440           0.308
       113      1.614           1.689           2.523           2.043           0.479           0.286
       114      1.595           1.662           2.423           1.979           0.714           0.257
       115      1.651           1.712           2.525           2.054           0.515           0.326
       116      1.646           1.717           2.478           2.035           0.498           0.229
       117      1.678           1.740           2.530           2.082           0.641           0.379
       118      1.810           1.847           2.575           2.176           0.384           0.278
       119      1.816           1.854           2.594           2.193           0.404           0.345
       120      1.880           1.936           2.598           2.232           0.424           0.259
       121      1.762           1.808           2.526           2.134           0.541           0.230
       122      1.763           1.811           2.490           2.097           0.760           0.326
       123      1.671           1.718           2.482           2.057           0.454           0.174
       124      1.871           1.907           2.509           2.155           0.593           0.265
       125      1.696           1.750           2.463           2.061           0.637           0.237
       126      1.772           1.821           2.499           2.112           0.505           0.260
       127      1.793           1.823           2.549           2.149           0.617           0.253
       128      1.868           1.899           2.532           2.184           0.400           0.177
       129      1.692           1.745           2.413           2.032           0.506           0.247
       130      1.806           1.855           2.531           2.148           0.540           0.352
       131      1.753           1.800           2.468           2.077           0.789           0.232
       132      1.691           1.753           2.442           2.060           0.419           0.235
       133      1.767           1.825           2.452           2.089           0.439           0.263
       134      1.727           1.774           2.488           2.090           0.579           0.212
       135      1.721           1.783           2.491           2.108           0.610           0.285
       136      1.752           1.800           2.478           2.099           0.505           0.238
       137      1.699           1.764           2.430           2.051           0.735           0.368
       138      1.716           1.764           2.455           2.087           0.530           0.190
       139      1.661           1.727           2.498           2.086           0.510           0.329
       140      1.651           1.718           2.473           2.072           0.399           0.250
       141      1.555           1.639           2.416           2.003           0.622           0.337
       142      1.603           1.673           2.392           2.001           0.512           0.287
       143      1.691           1.758           2.453           2.072           0.672           0.324
       144      1.632           1.690           2.387           2.007           0.329           0.213
       145      1.542           1.617           2.396           1.965           0.540           0.212
       146      1.628           1.695           2.433           2.025           0.674           0.304
       147      1.619           1.670           2.443           2.011           0.437           0.266
       148      1.569           1.625           2.342           1.944           0.473           0.300
       149      1.488           1.563           2.348           1.904           0.501           0.215
       150      1.512           1.597           2.378           1.936           0.666           0.357
       151      1.472           1.549           2.304           1.889           0.385           0.228
       152      1.421           1.502           2.267           1.830           0.357           0.235
       153      1.536           1.614           2.364           1.939           0.537           0.179
       154      1.668           1.736           2.377           2.006           0.581           0.368
       155      1.528           1.616           2.313           1.911           0.459           0.259
       156      1.570           1.654           2.350           1.963           0.569           0.226
       157      1.613           1.688           2.380           1.996           0.388           0.268
       158      1.604           1.683           2.368           1.994           0.471           0.236
       159      1.546           1.622           2.343           1.946           0.516           0.250
       160      1.466           1.546           2.343           1.903           0.508           0.197
       161      1.503           1.589           2.342           1.926           0.406           0.203
       162      1.548           1.633           2.354           1.961           0.620           0.306
       163      1.487           1.579           2.302           1.902           0.604           0.315
       164      1.519           1.592           2.335           1.925           0.723           0.212
       165      1.480           1.554           2.332           1.907           0.618           0.259
       166      1.494           1.558           2.363           1.924           0.508           0.196
       167      1.516           1.602           2.357           1.942           0.472           0.317
       168      1.493           1.576           2.370           1.941           0.433           0.281
       169      1.481           1.569           2.297           1.897           0.440           0.250
